Frame,Time (s),Knee_x (m),Knee_y (m),Theta (deg),Omega (rad/s),Alpha (rad/s^2)
73,1.03,1.919,0.4775,-18.2,2.22,42.5
74,1.044,1.9552,0.4823,-16.2,2.61,15.01
75,1.058,1.9911,0.4884,-14,2.65,-3.93
76,1.072,2.0265,0.4955,-11.8,2.5,-13.24
77,1.087,2.061,0.5032,-9.9,2.28,-16.29
78,1.101,2.0943,0.5112,-8.1,2.03,-17.51
79,1.115,2.1262,0.5189,-6.5,1.77,-18.73
80,1.13,2.1565,0.526,-5.2,1.5,-19.65
81,1.144,2.1853,0.5323,-4.1,1.21,-19.37
82,1.158,2.2124,0.5375,-3.2,0.94,-17.21
83,1.173,2.2381,0.5416,-2.5,0.72,-13.87
84,1.187,2.2622,0.5442,-2,0.55,-10.79
85,1.201,2.2848,0.5452,-1.6,0.41,-7.88
86,1.215,2.306,0.5443,-1.3,0.32,-3.38
87,1.23,2.3259,0.5416,-1.1,0.31,3.27
88,1.244,2.3446,0.5372,-0.8,0.42,9.14
89,1.258,2.3625,0.5315,-0.4,0.58,10.06
90,1.273,2.38,0.525,0.1,0.7,4.8
91,1.287,2.3975,0.5184,0.7,0.71,-4.67
92,1.301,2.4156,0.5122,1.3,0.57,-16.27
93,1.316,2.4349,0.5071,1.7,0.25,-29.67
94,1.33,2.4556,0.5033,1.7,-0.28,-44.2
95,1.344,2.4779,0.5009,1.2,-1.02,-54.99
96,1.358,2.5014,0.4998,0,-1.85,-53.1
97,1.373,2.5257,0.4999,-1.8,-2.53,-31.93
98,1.387,2.5502,0.5008,-4.1,-2.77,4.96
99,1.401,2.5746,0.5025,-6.4,-2.39,43.33
100,1.416,2.5984,0.5047,-8,-1.53,67.62
101,1.43,2.6214,0.5072,-8.9,-0.46,71.62
102,1.444,2.6431,0.5098,-8.8,0.52,59.88
103,1.459,2.6628,0.512,-8,1.25,41.13
104,1.473,2.68,0.5136,-6.7,1.7,22.1
105,1.487,2.6945,0.5147,-5.2,1.89,5.23
106,1.501,2.7065,0.5153,-3.7,1.85,-10.1
